Line#,Process,Temp,Pres,Velocity,Metallurgy,Size,WallThickness,Failures_Target
0001,Flare,475,467,19.16112013,SS,1.5,0.145,Yes
0002,Produced Gas,458,347,50.98986787,CS,8,0.322,No
0003,Flare,275,565,44.03792503,CS,8,0.322,Yes
0004,C2,214,265,22.60055837,Othr,2,0.154,Yes
0005,Flare,19,559,55.24868448,CS,1.5,0.145,Yes
0006,C4,15,528,30.40539225,CS,1,0.133,Yes
0007,C3,378,26,63.64174067,SS,1.5,0.145,No
0008,Produced Water,140,450,28.78967812,Othr,8,0.322,Yes
0009,Produced Gas,597,486,40.71785625,Othr,1,0.133,No
0010,C4,544,354,41.85912553,Othr,2,0.154,No
0011,Produced Water,72,334,39.23621599,CS,1,0.133,No
0012,C2,82,231,23.21269972,Othr,6,0.28,Yes
0013,Produced Gas,199,317,60.54681504,SS,6,0.28,No
0014,C2,217,291,12.88435516,CS,2,0.154,No
0015,Produced Gas,225,349,44.11866615,CS,1.5,0.145,Yes
0016,C3,51,32,0.412256632,Othr,0.75,0.113,No
0017,Flare,388,268,14.71073002,CS,1.5,0.145,Yes
0018,C2,589,508,32.20528297,Othr,3,0.216,Yes
0019,C2,166,352,4.707452843,CS,1.5,0.145,Yes
0020,Produced Gas,554,47,13.2397473,CS,4,0.237,Yes
0021,Flare,35,229,46.0853246,SS,3,0.216,No
0022,C4,451,53,4.235771466,Othr,3,0.216,Yes
0023,C4,100,496,48.83433994,CS,3,0.216,Yes
0024,C1,396,152,72.11059485,Othr,1,0.133,Yes
0025,Flare,118,148,17.15848041,Othr,6,0.28,No
0026,Produced Gas,585,51,12.63141361,Othr,10,0.365,Yes
0027,C4,349,239,71.25288477,SS,3,0.216,Yes
0028,Produced Gas,138,360,4.661848734,Othr,10,0.365,No
0029,C2,332,58,27.67619816,CS,1,0.133,No
0030,C4,549,383,49.38333199,SS,2,0.154,No
0031,Produced Water,196,538,45.28110461,CS,10,0.365,Yes
0032,C1,364,350,0.770856234,Othr,3,0.216,No
0033,Produced Gas,375,56,60.47587443,CS,3,0.216,No
0034,C3,525,586,54.42191393,CS,8,0.322,Yes
0035,C1,515,134,68.8068991,CS,2,0.154,Yes
0036,Flare,106,79,54.95496465,SS,10,0.365,Yes
0037,Produced Gas,366,129,6.553840138,Othr,3,0.216,Yes
0038,Flare,188,67,59.40443921,CS,8,0.322,No
0039,C4,58,266,12.14157232,SS,3,0.216,No
